campagne,horodatage,limite_s,penalite,caissons,premiere_solution,metaheuristique,nb_vehicules,statut,distance_km,vehicules_utilises,lots_servis,lots_non_servis,ids_non_servis,duree_s
penalite,2026-07-21T23:17:19,60,,False,,,8,resolu,3247.8,8,120,0,,60.0
penalite,2026-07-21T23:18:19,60,,False,,,6,resolu,3022.3,6,110,10,24 30 31 37 38 41 43 78 80 119,60.0
penalite,2026-07-21T23:19:19,60,,False,,,4,resolu,2084.3,4,78,42,6 11 23 25 27 29 30 31 33 36 37 38 41 42 43 44 45 46 50 53 54 56 58 59 61 63 77 78 79 80 82 89 90 91 95 96 100 105 107 108 117 119,60.0
penalite,2026-07-21T23:20:19,60,,False,,,3,resolu,1998.1,3,67,53,6 11 12 14 23 25 27 29 30 31 33 34 35 36 37 38 39 41 42 43 44 45 46 48 50 51 52 55 56 58 61 63 64 66 69 75 77 78 79 80 89 90 91 96 100 105 106 107 108 109 112 117 119,60.0
penalite,2026-07-21T23:21:19,60,5000000,False,,,11,resolu,3036.6,8,120,0,,60.0
penalite,2026-07-21T23:22:19,60,500000,False,,,11,resolu,3036.6,8,120,0,,60.0
penalite,2026-07-21T23:23:19,60,50000,False,,,11,resolu,1113.7,7,81,39,37 39 40 41 42 43 44 45 46 47 74 75 76 77 78 79 80 81 82 83 85 86 88 89 90 91 92 93 94 95 96 97 98 99 100 101 104 113 119,60.0
penalite,2026-07-21T23:24:19,60,5000,False,,,11,resolu,3.7,1,2,118,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 119 120,60.0
