nom,gouvernorat,lat_ancienne,lon_ancienne,lat_nouvelle,lon_nouvelle,ecart_km,statut
Kasserine Ville,Kasserine,35.167,8.836,35.168765,8.836565,0.2,OK
Sbeitla,Kasserine,35.237,9.12,35.240338,9.120342,0.37,OK
Feriana,Kasserine,34.95,8.57,34.946648,8.566311,0.5,OK
Sidi Bouzid Ville,Sidi Bouzid,35.038,9.484,35.038239,9.48653,0.23,OK
Regueb,Sidi Bouzid,34.858,9.783,34.8542,9.801559,1.75,OK
Meknassy,Sidi Bouzid,34.626,9.612,34.604771,9.602246,2.52,OK
Gabes Ville,Gabes,33.8815,10.0982,33.887808,10.10044,0.73,OK
Mareth,Gabes,33.64,10.28,33.617159,10.288232,2.65,OK
El Hamma,Gabes,33.886,9.795,33.889438,9.799711,0.58,OK
Metouia,Gabes,33.967,10.0,33.958906,10.001434,0.91,OK
Medenine Ville,Medenine,33.354,10.505,33.343401,10.49107,1.75,OK
Houmt Souk (Djerba),Medenine,33.875,10.857,33.868877,10.869555,1.35,OK
Zarzis,Medenine,33.504,11.112,33.50368,11.109717,0.22,OK
Ben Gardane,Medenine,32.812343,11.304178,32.812343,11.304178,0.0,OK
Tataouine Ville,Tataouine,32.929,10.451,32.935097,10.450091,0.68,OK
Ghomrassen,Tataouine,33.058,10.346,33.059899,10.339057,0.68,OK
Gafsa Ville,Gafsa,34.425,8.784,34.40189,8.769023,2.91,OK
Metlaoui,Gafsa,34.32,8.4,34.315723,8.401829,0.5,OK
El Ksar,Gafsa,34.41212,8.9186,34.41212,8.9186,0.0,OK
Tozeur Ville,Tozeur,33.92,8.133,33.9239,8.137064,0.57,OK
Nefta,Tozeur,33.820495,7.872451,33.820495,7.872451,0.0,OK
Kebili Ville,Kebili,33.704,8.969,33.706115,8.969838,0.25,OK
Douz,Kebili,33.466,9.02,33.45711,9.024983,1.09,OK
