index_i,index_j,geodesique_km,routier_km,asymetrie_km,ratio
8,28,6.422,9.29,0.48,1.4466
8,32,62.151,71.335,2.11,1.1478
8,33,81.262,124.47,9.4,1.5317
8,34,66.858,86.265,9.35,1.2903
8,35,72.032,111.995,9.37,1.5548
8,36,38.573,45.55,0.82,1.1809
8,37,55.691,64.955,0.01,1.1663
8,38,49.285,63.845,0.51,1.2954
8,43,90.319,117.98,0.84,1.3063
8,44,55.058,63.12,1.02,1.1464
8,45,73.304,81.62,0.32,1.1134
8,49,150.304,169.545,0.33,1.128
8,50,156.833,179.34,0.32,1.1435
8,52,119.633,158.06,0.38,1.3212
8,55,114.623,140.16,0.82,1.2228
8,59,119.238,145.165,0.87,1.2174
8,60,131.033,176.94,0.16,1.3503
8,62,144.501,181.88,0.7,1.2587
8,65,167.822,214.035,0.63,1.2754
8,68,177.209,209.81,0.8,1.184
8,69,238.496,273.18,0.66,1.1454
8,70,232.265,265.1,0.86,1.1414
8,73,245.429,290.3,3.98,1.1828
8,76,210.396,245.495,0.79,1.1668
8,78,128.955,194.785,2.03,1.5105
8,79,101.758,127.3,1.98,1.251
8,80,141.063,170.705,1.91,1.2101
8,81,125.318,168.07,1.96,1.3411
8,82,221.64,278.165,2.01,1.255
8,84,255.122,319.565,2.07,1.2526
8,85,209.445,304.485,1.85,1.4538
8,89,354.912,450.49,0.24,1.2693
8,90,329.408,430.515,0.31,1.3069
8,91,318.965,400.83,0.8,1.2567
8,96,434.35,537.88,0.84,1.2384
8,97,419.616,528.405,0.83,1.2593
8,98,296.194,458.545,0.49,1.5481
8,99,322.735,497.85,0.42,1.5426
8,101,373.482,550.68,0.44,1.4744
9,12,2.679,3.455,0.09,1.2897
9,14,4.785,6.55,0.54,1.3689
9,15,7.423,9.01,0.38,1.2138
9,19,28.099,33.315,0.19,1.1856
9,25,16.561,19.425,1.15,1.1729
9,26,12.618,15.62,0.12,1.2379
9,28,5.906,8.01,0.42,1.3562
9,32,58.8,66.5,2.52,1.131
9,33,81.265,119.64,9.0,1.4722
9,34,64.997,81.425,8.95,1.2528
9,35,71.617,107.155,8.97,1.4962
9,36,35.709,40.71,0.42,1.14
9,37,59.48,70.625,0.49,1.1874
9,38,52.459,69.515,0.03,1.3251
9,43,90.03,115.33,0.52,1.281
9,44,53.775,60.47,0.34,1.1245
9,45,71.766,78.97,1.04,1.1004
9,49,148.495,166.895,1.03,1.1239
9,50,154.368,176.69,1.04,1.1446
9,52,115.622,153.22,0.78,1.3252
9,55,110.582,135.32,0.42,1.2237
9,59,115.144,140.325,0.47,1.2187
9,60,127.187,172.105,0.25,1.3532
9,62,140.507,177.04,0.3,1.26
9,65,164.037,209.2,0.22,1.2753
9,68,173.105,204.975,0.39,1.1841
9,69,234.346,268.34,0.26,1.1451
9,70,228.122,260.265,0.45,1.1409
9,73,241.259,285.46,4.38,1.1832
9,76,206.338,240.655,0.39,1.1663
9,78,124.758,189.95,1.62,1.5225
9,79,97.629,122.825,1.71,1.2581
9,80,137.135,166.235,1.63,1.2122
9,81,121.221,163.595,1.69,1.3496
9,82,218.241,273.685,1.73,1.254
9,84,251.795,315.09,1.8,1.2514
9,85,205.488,299.645,1.45,1.4582
9,89,350.692,445.65,0.16,1.2708
9,90,325.236,425.675,0.09,1.3088
9,91,314.764,395.99,0.4,1.2581
9,96,430.13,533.04,0.44,1.2393
9,97,415.396,523.565,0.43,1.2604
9,98,292.479,453.705,0.09,1.5512
9,99,319.203,493.01,0.02,1.5445
9,101,369.947,545.84,0.04,1.4755
12,14,7.36,10.5,2.14,1.4266
12,15,5.972,8.165,0.41,1.3672
12,19,25.885,34.34,5.24,1.3266
12,25,19.221,23.39,1.62,1.2169
12,26,15.178,19.095,0.23,1.2581
12,28,4.112,6.305,0.69,1.5333
12,32,61.479,70.46,5.28,1.1461
12,33,82.935,123.6,6.24,1.4903
12,34,67.412,85.39,6.18,1.2667
12,35,73.481,111.12,6.2,1.5122
12,36,38.347,44.675,2.35,1.165
12,37,56.886,69.745,2.25,1.226
12,38,49.781,68.64,1.74,1.3788
12,43,88.453,115.255,0.75,1.303
12,44,52.752,60.395,0.57,1.1449
12,45,70.915,78.895,1.27,1.1125
12,49,147.838,166.82,1.26,1.1284
12,50,154.192,176.615,1.27,1.1454
12,52,118.129,157.19,3.54,1.3307
12,55,113.066,139.285,2.35,1.2319
12,59,117.578,144.29,2.3,1.2272
12,60,129.78,176.065,3.01,1.3566
12,62,143.024,181.005,2.47,1.2656
12,65,166.651,213.16,2.54,1.2791
12,68,175.523,208.935,2.37,1.1904
12,69,236.697,272.3,2.5,1.1504
12,70,230.486,264.23,2.3,1.1464
12,73,243.572,289.42,7.14,1.1882
12,76,208.803,244.62,2.38,1.1715
12,78,126.65,193.91,1.14,1.5311
12,79,99.315,125.46,0.02,1.2633
12,80,138.448,168.865,0.05,1.2197
12,81,122.834,166.23,0.0,1.3533
12,82,218.902,276.325,0.05,1.2623
12,84,252.382,317.725,0.11,1.2589
12,85,206.844,303.605,1.31,1.4678
12,89,352.738,449.61,2.92,1.2746
12,90,327.03,429.64,2.86,1.3138
12,91,316.667,399.955,2.37,1.263
12,96,432.23,537.005,2.31,1.2424
12,97,417.46,527.525,2.33,1.2637
12,98,293.497,457.67,2.68,1.5594
12,99,320.007,496.975,2.75,1.553
12,101,370.755,549.8,2.72,1.4829
14,15,11.859,14.55,0.28,1.2269
14,19,32.782,38.855,0.09,1.1853
14,25,11.937,14.055,1.45,1.1774
14,26,9.368,12.095,0.81,1.2911
14,28,9.4,13.205,1.79,1.4048
14,32,54.305,62.04,4.02,1.1424
14,33,79.92,115.175,7.49,1.4411
14,34,61.771,76.965,7.43,1.246
14,35,69.851,102.7,7.46,1.4703
14,36,31.665,36.25,1.1,1.1448
14,37,64.243,76.165,0.39,1.1856
14,38,56.973,75.05,0.12,1.3173
14,43,91.536,118.84,0.22,1.2983
14,44,54.313,63.98,0.4,1.178
14,45,71.899,82.48,0.3,1.1472
14,49,148.142,170.405,0.29,1.1503
14,50,153.15,183.9,7.1,1.2008
14,52,110.838,148.765,2.29,1.3422
14,55,105.802,130.86,1.1,1.2368
14,59,110.38,135.87,1.04,1.2309
14,60,122.422,167.64,1.76,1.3694
14,62,135.723,172.58,1.22,1.2716
14,65,159.29,204.735,1.29,1.2853
14,68,168.346,200.515,1.11,1.1911
14,69,229.62,263.88,1.26,1.1492
14,70,223.389,255.805,1.05,1.1451
14,73,236.557,281.0,5.9,1.1879
14,76,201.562,236.195,1.13,1.1718
14,78,120.461,185.485,0.11,1.5398
14,79,93.595,118.455,0.01,1.2656
14,80,133.577,161.86,0.06,1.2117
14,81,117.267,159.225,0.01,1.3578
14,82,215.616,269.32,0.04,1.2491
14,84,249.278,310.72,0.1,1.2465
14,85,201.849,295.19,0.06,1.4624
14,89,346.214,441.19,1.68,1.2743
14,90,321.031,421.215,1.61,1.3121
14,91,310.435,391.53,1.12,1.2612
14,96,425.598,528.585,1.07,1.242
14,97,410.898,519.105,1.09,1.2633
14,98,289.303,449.25,1.42,1.5529
14,99,316.34,488.55,1.5,1.5444
14,101,367.073,541.38,1.48,1.4749
15,19,21.031,25.61,0.28,1.2177
15,25,22.709,27.215,0.59,1.1984
15,26,16.979,23.615,0.03,1.3908
15,28,9.104,11.84,0.8,1.3005
15,32,64.066,74.29,3.06,1.1596
15,33,80.289,127.43,8.44,1.5871
15,34,67.406,89.215,8.39,1.3235
15,35,71.397,114.95,8.42,1.61
15,36,40.107,48.505,0.13,1.2094
15,37,53.475,63.185,0.85,1.1816
15,38,47.845,62.075,0.35,1.2974
15,43,91.762,120.53,0.54,1.3135
15,44,57.219,65.67,0.72,1.1477
15,45,75.583,84.175,0.01,1.1137
15,49,152.694,172.1,0.02,1.1271
15,50,159.589,181.895,0.01,1.1398
15,52,122.278,161.015,1.33,1.3168
15,55,117.314,143.11,0.14,1.2199
15,59,122.012,148.12,0.08,1.214
15,60,133.452,179.895,0.79,1.348
15,62,147.116,184.83,0.26,1.2564
15,65,170.155,216.985,0.33,1.2752
15,68,179.995,212.765,0.15,1.1821
15,69,241.368,276.135,0.29,1.144
15,70,235.121,268.055,0.09,1.1401
15,73,248.346,293.255,4.93,1.1808
15,76,213.101,248.45,0.16,1.1659
15,78,132.174,197.735,1.07,1.496
15,79,105.039,130.79,0.82,1.2452
15,80,144.373,174.19,0.74,1.2065
15,81,128.612,171.555,0.79,1.3339
15,82,224.819,281.65,0.84,1.2528
15,84,258.272,323.05,0.9,1.2508
15,85,212.756,307.44,0.9,1.445
15,89,358.051,453.44,0.72,1.2664
15,90,332.66,433.47,0.64,1.303
15,91,322.177,403.78,0.16,1.2533
15,96,437.452,540.835,0.11,1.2363
15,97,422.743,531.36,0.12,1.2569
15,98,299.469,461.5,0.46,1.5411
15,99,325.958,500.805,0.53,1.5364
15,101,376.705,553.63,0.52,1.4697
19,25,43.64,51.52,0.78,1.1806
19,26,37.295,47.92,0.16,1.2849
19,28,26.668,35.74,0.96,1.3402
19,32,83.96,98.6,2.88,1.1744
19,33,88.34,151.735,8.63,1.7176
19,34,83.098,113.525,8.59,1.3662
19,35,81.621,139.255,8.61,1.7061
19,36,59.431,72.81,0.06,1.2251
19,37,34.03,39.225,0.13,1.1527
19,38,32.699,42.55,0.02,1.3013
19,43,92.374,144.425,0.37,1.5635
19,44,64.403,89.57,0.56,1.3908
19,45,82.799,108.065,0.15,1.3051
19,49,159.416,195.995,0.15,1.2295
19,50,169.548,205.785,0.15,1.2137
19,52,143.245,185.32,1.14,1.2937
19,55,138.313,167.42,0.06,1.2104
19,59,143.041,172.425,0.11,1.2054
19,60,154.155,204.2,0.6,1.3246
19,62,168.054,209.14,0.06,1.2445
19,65,190.697,241.3,0.14,1.2654
19,68,201.024,237.075,0.03,1.1793
19,69,262.387,300.44,0.1,1.145
19,70,256.146,292.36,0.1,1.1414
19,73,269.339,317.56,4.74,1.179
19,76,234.101,272.755,0.03,1.1651
19,78,152.285,222.045,1.27,1.4581
19,79,124.54,157.43,5.68,1.2641
19,80,162.389,200.835,5.61,1.2368
19,81,147.823,198.2,5.66,1.3408
19,82,239.442,308.29,5.7,1.2875
19,84,272.397,349.695,5.77,1.2838
19,85,230.828,331.745,1.09,1.4372
